,name,max_value,min_value,mean_value,nrows,ncols
384,GSM87171.cel,46093.0,67.5,537.88,712.0,712.0
385,GSM87172.CEL,46093.0,67.5,537.88,712.0,712.0
386,GSM87173.cel,46093.0,67.5,537.88,712.0,712.0
387,GSM87174.cel,46093.0,67.5,537.88,712.0,712.0
388,GSM87175.cel,46093.0,67.5,537.88,712.0,712.0
389,GSM87176.cel,46093.0,67.5,537.88,712.0,712.0
390,GSM87177.cel,46093.0,67.5,537.88,712.0,712.0
391,GSM87178.cel,46093.0,67.5,537.88,712.0,712.0
392,GSM87179.cel,46093.0,67.5,537.88,712.0,712.0
393,GSM87180.cel,46093.0,67.5,537.88,712.0,712.0
394,GSM87181.cel,46093.0,67.5,537.88,712.0,712.0
395,GSM87182.cel,46093.0,67.5,537.88,712.0,712.0
396,GSM87183.cel,46093.0,67.5,537.88,712.0,712.0
397,GSM87184.cel,46093.0,67.5,537.88,712.0,712.0
398,GSM87185.cel,46093.0,67.5,537.88,712.0,712.0
399,GSM87186.cel,46093.0,67.5,537.88,712.0,712.0
400,GSM87187.cel,46093.0,67.5,537.88,712.0,712.0
401,GSM87188.cel,46093.0,67.5,537.88,712.0,712.0
402,GSM87189.cel,46093.0,67.5,537.88,712.0,712.0
403,GSM87190.cel,46093.0,67.5,537.88,712.0,712.0
